name|owner|primaryLanguage|createdAt|updatedAt|url|popularity|cbo|dit|lcom|loc|compositeScore
seatunnel|apache|Java|2017-08-05T09:14:47Z|2025-03-24T13:32:45Z|https://github.com/apache/seatunnel|8368|5.29|1.27|26.18|28762|0.21688525725580962
hsweb-framework|hs-web|Java|2016-01-18T03:51:39Z|2025-03-23T14:47:29Z|https://github.com/hs-web/hsweb-framework|8367|5.76|1.35|11.56|23084|0.22580442347048985
tsunami-security-scanner|google|Java|2020-06-03T16:20:00Z|2025-03-22T21:49:40Z|https://github.com/google/tsunami-security-scanner|8360|6.19|1.54|14.53|8424|0.23925695370131916
flowable-engine|flowable|Java|2016-10-13T07:21:43Z|2025-03-24T07:06:56Z|https://github.com/flowable/flowable-engine|8307|6.83|1.63|152.04|405275|0.2502589660927695
AndroidPdfViewer|DImuthuUpe|Java|2016-06-02T20:21:21Z|2025-03-24T02:48:27Z|https://github.com/DImuthuUpe/AndroidPdfViewer|8267|4.95|1.25|76.79|3328|0.21208714032469658
shardingsphere-elasticjob|apache|Java|2015-09-11T11:28:52Z|2025-03-24T05:18:52Z|https://github.com/apache/shardingsphere-elasticjob|8174|2.97|1.05|5.11|602|0.18099271334830697
testcontainers-java|testcontainers|Java|2015-04-12T12:44:59Z|2025-03-24T13:00:03Z|https://github.com/testcontainers/testcontainers-java|8163|5.45|1.48|22.09|30782|0.2282464556808403
atlas|alibaba|Java|2017-02-28T06:31:43Z|2025-03-14T02:13:16Z|https://github.com/alibaba/atlas|8140|5.64|1.44|29.88|157514|0.22853196913309173
MaterialViewPager|florent37|Java|2015-04-24T17:53:15Z|2025-03-21T04:03:21Z|https://github.com/florent37/MaterialViewPager|8120|4.55|1.3|9.39|1616|0.21001838189843208
im-server|wildfirechat|Java|2019-01-23T15:21:28Z|2025-03-24T05:08:19Z|https://github.com/wildfirechat/im-server|8108|6.41|1.54|108.42|156800|0.241546357572847
LitePal|guolindev|Java|2013-02-20T03:20:07Z|2025-03-22T07:50:12Z|https://github.com/guolindev/LitePal|8107|5.01|1.65|49.45|11830|0.23102911514150992
otter|alibaba|Java|2013-08-09T09:31:22Z|2025-03-23T14:56:37Z|https://github.com/alibaba/otter|8093|4.61|1.37|32.45|68163|0.21383636878348758
beam|apache|Java|2016-02-02T08:00:06Z|2025-03-24T03:34:22Z|https://github.com/apache/beam|8047|6.26|1.62|7.78|30208|0.2436953162144574
ysoserial|frohoff|Java|2015-01-28T07:13:55Z|2025-03-24T09:53:55Z|https://github.com/frohoff/ysoserial|8046|5.46|1.34|8.89|3851|0.2220035171406784
SimianArmy|Netflix|Java|2012-07-06T22:00:05Z|2025-03-22T07:46:45Z|https://github.com/Netflix/SimianArmy|7983|5.85|1.42|25.16|16056|0.22997427768333964
subsampling-scale-image-view|davemorrissey|Java|2013-08-26T16:45:25Z|2025-03-24T09:54:39Z|https://github.com/davemorrissey/subsampling-scale-image-view|7940|5.63|1.58|79.72|4262|0.23470961041926688
pentaho-kettle|pentaho|Java|2013-10-08T18:27:11Z|2025-03-24T11:27:38Z|https://github.com/pentaho/pentaho-kettle|7927|5.92|1.28|80.22|770085|0.22427970767970104
hugo|JakeWharton|Java|2013-11-25T09:16:40Z|2025-03-18T06:17:34Z|https://github.com/JakeWharton/hugo|7923|5.71|1.14|27.71|384|0.21565009659654313
transmittable-thread-local|alibaba|Java|2013-10-13T08:48:33Z|2025-03-24T12:56:12Z|https://github.com/alibaba/transmittable-thread-local|7886|5.69|1.43|12.75|6878|0.22866526345144675
UltimateAndroidReference|aritraroy|Java|2017-04-10T07:28:27Z|2025-03-24T08:09:10Z|https://github.com/aritraroy/UltimateAndroidReference|7869|1|1|0|22|0.15672503240067714
XPopup|junixapp|Java|2018-12-07T06:16:48Z|2025-03-23T14:24:45Z|https://github.com/junixapp/XPopup|7861|4.7|1.58|22.9|12348|0.22442561143110373
HomeMirror|HannahMitt|Java|2015-08-23T03:20:08Z|2025-03-03T20:47:38Z|https://github.com/HannahMitt/HomeMirror|7852|2.73|1.08|5.35|1719|0.1796789612321722
metrics|dropwizard|Java|2010-02-26T19:44:42Z|2025-03-24T13:15:20Z|https://github.com/dropwizard/metrics|7842|5.44|1.34|9.56|28068|0.22177898419657494
LSPatch|LSPosed|Java|2021-03-01T19:38:36Z|2025-03-24T07:11:31Z|https://github.com/LSPosed/LSPatch|7813|4.34|1.35|23.88|7008|0.20992540453201886
